id,names,supertypes,subtypes,set,rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,artist,price,is_legendary
11297,Clone Legion,Sorcery,None,Dragons of Tarkir,Mythic Rare,9,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Svetlin Velinov',1.16,FALSE
11298,Contradict,Instant,None,Dragons of Tarkir,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Steve Prescott',0.08,FALSE
11299,Dance of the Skywise,Instant,None,Dragons of Tarkir,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jack Wang',0.11,FALSE
11300,Dirgur Nemesis,Creature,Serpent,Dragons of Tarkir,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mathias Kollros',0.04,FALSE
11301,Dragonlord's Prerogative,Instant,None,Dragons of Tarkir,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Seb McKinnon',0.21,FALSE
11302,Elusive Spellfist,Creature,Human Monk,Dragons of Tarkir,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Viktor Titov',0.09,FALSE
11303,Encase in Ice,Enchantment,Aura,Dragons of Tarkir,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mathias Kollros',0.09,FALSE
11304,Glint,Instant,None,Dragons of Tarkir,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Igor Kieryluk',0.09,FALSE
11305,Gudul Lurker,Creature,Salamander,Dragons of Tarkir,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Christopher Burdett',0.59,FALSE
11306,Gurmag Drowner,Creature,Naga Wizard,Dragons of Tarkir,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lake Hurwitz',0.06,FALSE
11307,Icefall Regent,Creature,Dragon,Dragons of Tarkir,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'David Gaillet',0.37,FALSE
11308,Illusory Gains,Enchantment,Aura,Dragons of Tarkir,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.2,FALSE
11309,Learn from the Past,Instant,None,Dragons of Tarkir,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Chase Stone',0.14,FALSE
11310,Living Lore,Creature,Avatar,Dragons of Tarkir,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jason Felix',0.15,FALSE
11311,Mirror Mockery,Enchantment,Aura,Dragons of Tarkir,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ryan Alexander Lee',0.35,FALSE
11312,Monastery Loremaster,Creature,Djinn Wizard,Dragons of Tarkir,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ryan Alexander Lee',0.08,FALSE
11313,Mystic Meditation,Sorcery,None,Dragons of Tarkir,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Howard Lyon',0.06,FALSE
11314,Negate,Instant,None,Dragons of Tarkir,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,b'Willian Murai',0.09,FALSE
11315,Ojutai Interceptor,Creature,Bird Soldier,Dragons of Tarkir,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Johann Bodin',0.03,FALSE
11316,Ojutai's Breath,Instant,None,Dragons of Tarkir,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.05,FALSE
11317,Ojutai's Summons,Sorcery,None,Dragons of Tarkir,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jakub Kasper',0.06,FALSE
11318,Palace Familiar,Creature,Bird,Dragons of Tarkir,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.07,FALSE
11319,Profaner of the Dead,Creature,Naga Wizard,Dragons of Tarkir,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Vincent Proce',0.25,FALSE
11320,Qarsi Deceiver,Creature,Naga Wizard,Dragons of Tarkir,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Raymond Swanland',0.15,FALSE
11321,Reduce in Stature,Enchantment,Aura,Dragons of Tarkir,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dan Scott',0.07,FALSE
11322,Shorecrasher Elemental,Creature,Elemental,Dragons of Tarkir,Mythic Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Igor Kieryluk',0.49,FALSE
11323,Sidisi's Faithful,Creature,Naga Wizard,Dragons of Tarkir,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lius Lasahido',0.19,FALSE
11324,Sight Beyond Sight,Sorcery,None,Dragons of Tarkir,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Anastasia Ovchinnikova',0.07,FALSE
11325,Silumgar Sorcerer,Creature,Human Wizard,Dragons of Tarkir,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeff Simpson',0.15,FALSE
11326,Silumgar Spell-Eater,Creature,Naga Wizard,Dragons of Tarkir,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dave Kendall',0.15,FALSE
11327,Silumgar's Scorn,Instant,None,Dragons of Tarkir,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ryan Yee',0.2,FALSE
11328,Skywise Teachings,Enchantment,None,Dragons of Tarkir,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Filip Burburan',0.09,FALSE
11329,Stratus Dancer,Creature,Djinn Monk,Dragons of Tarkir,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Anastasia Ovchinnikova',0.24,FALSE
11330,Taigam's Strike,Sorcery,None,Dragons of Tarkir,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'David Gaillet',0.07,FALSE
11331,Updraft Elemental,Creature,Elemental,Dragons of Tarkir,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Raf Sarmento',0.06,FALSE
11332,Void Squall,Sorcery,None,Dragons of Tarkir,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'James Paick',0.07,FALSE
11333,Youthful Scholar,Creature,Human Wizard,Dragons of Tarkir,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Cynthia Sheppard',0.06,FALSE
11334,Zephyr Scribe,Creature,Human Monk,Dragons of Tarkir,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lius Lasahido',0.08,FALSE
11335,Acid-Spewer Dragon,Creature,Dragon,Dragons of Tarkir,Uncommon,6,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'James Zapata',0.14,FALSE
11336,Ambuscade Shaman,Creature,Orc Shaman,Dragons of Tarkir,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Anthony Palumbo',0.11,FALSE
11337,Blood-Chin Fanatic,Creature,Orc Warrior,Dragons of Tarkir,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'David Palumbo',0.21,FALSE
11338,Blood-Chin Rager,Creature,Human Warrior,Dragons of Tarkir,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Karl Kopinski',0.26,FALSE
11339,Butcher's Glee,Instant,None,Dragons of Tarkir,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jesper Ejsing',0.1,FALSE
11340,Coat with Venom,Instant,None,Dragons of Tarkir,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Johann Bodin',0.13,FALSE
11341,Corpseweft,Enchantment,None,Dragons of Tarkir,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Nils Hamm',0.15,FALSE
11342,Damnable Pact,Sorcery,None,Dragons of Tarkir,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Zack Stella',0.29,FALSE
11343,Deadly Wanderings,Enchantment,None,Dragons of Tarkir,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'David Palumbo',0.1,FALSE
11344,Death Wind,Instant,None,Dragons of Tarkir,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Nils Hamm',0.11,FALSE
11345,Deathbringer Regent,Creature,Dragon,Dragons of Tarkir,Rare,7,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Adam Paquette',0.29,FALSE
11346,Defeat,Sorcery,None,Dragons of Tarkir,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dave Kendall',0.09,FALSE
11347,Duress,Sorcery,None,Dragons of Tarkir,Common,1,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jason Rainville',0.12,FALSE
11348,Dutiful Attendant,Creature,Human Warrior,Dragons of Tarkir,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Aaron Miller',0.14,FALSE
11349,Flatten,Instant,None,Dragons of Tarkir,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Raoul Vitale',0.03,FALSE
11350,Foul Renewal,Instant,None,Dragons of Tarkir,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Filip Burburan',0.18,FALSE
11351,Foul-Tongue Invocation,Instant,None,Dragons of Tarkir,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Daarken',0.13,FALSE
11352,Foul-Tongue Shriek,Instant,None,Dragons of Tarkir,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dave Kendall',0.11,FALSE
11353,Gravepurge,Instant,None,Dragons of Tarkir,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Nils Hamm',0.13,FALSE
11354,Hand of Silumgar,Creature,Human Warrior,Dragons of Tarkir,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lius Lasahido',0.06,FALSE
11355,Hedonist's Trove,Enchantment,None,Dragons of Tarkir,Rare,7,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Peter Mohrbacher',0.2,FALSE
11356,Kolaghan Skirmisher,Creature,Human Warrior,Dragons of Tarkir,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Anthony Palumbo',0.03,FALSE
11357,Marang River Skeleton,Creature,Skeleton,Dragons of Tarkir,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jack Wang',0.1,FALSE
11358,Marsh Hulk,Creature,Zombie Ogre,Dragons of Tarkir,Common,6,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Raf Sarmento',0.19,FALSE
11359,Mind Rot,Sorcery,None,Dragons of Tarkir,Common,3,Black,Legal,Legal,Legal,Legal,Legal,TRUE,b'Clint Cearley',0.14,FALSE
11360,Minister of Pain,Creature,Human Shaman,Dragons of Tarkir,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Izzy',0.11,FALSE
11361,Pitiless Horde,Creature,Orc Berserker,Dragons of Tarkir,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Viktor Titov',0.14,FALSE
11362,Qarsi Sadist,Creature,Human Cleric,Dragons of Tarkir,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Volkan Ba\xc7\xb5a',0.07,FALSE
11363,Rakshasa Gravecaller,Creature,Cat Demon,Dragons of Tarkir,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jakub Kasper',0.15,FALSE
11364,Reckless Imp,Creature,Imp,Dragons of Tarkir,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Torstein Nordstrand',0.05,FALSE
11365,Risen Executioner,Creature,Zombie Warrior,Dragons of Tarkir,Mythic Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Craig J Spearing',1.82,FALSE
11366,Self-Inflicted Wound,Sorcery,None,Dragons of Tarkir,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mathias Kollros',0.21,FALSE
11367,Shambling Goblin,Creature,Zombie Goblin,Dragons of Tarkir,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Yeong-Hao Han',0.08,FALSE
11368,Sibsig Icebreakers,Creature,Zombie,Dragons of Tarkir,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.07,FALSE
11369,Sidisi Undead Vizier,Creature,Zombie Naga,Dragons of Tarkir,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Min Yum',8.43,TRUE
11370,Silumgar Assassin,Creature,Human Assassin,Dragons of Tarkir,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Yohann Schepacz',0.15,FALSE
11371,Silumgar Butcher,Creature,Zombie Djinn,Dragons of Tarkir,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dave Kendall',0.06,FALSE
11372,Ukud Cobra,Creature,Snake,Dragons of Tarkir,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Johann Bodin',0.12,FALSE
11373,Ultimate Price,Instant,None,Dragons of Tarkir,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jack Wang',0.15,FALSE
11374,Virulent Plague,Enchantment,None,Dragons of Tarkir,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Johann Bodin',0.2,FALSE
11375,Vulturous Aven,Creature,Bird Shaman,Dragons of Tarkir,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.11,FALSE
11376,Wandering Tombshell,Creature,Zombie Turtle,Dragons of Tarkir,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Yeong-Hao Han',0.06,FALSE
11377,Atarka Efreet,Creature,Efreet Shaman,Dragons of Tarkir,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Izzy',0.07,FALSE
11378,Atarka Pummeler,Creature,Ogre Warrior,Dragons of Tarkir,Uncommon,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lucas Graciano',0.05,FALSE
11379,Berserkers' Onslaught,Enchantment,None,Dragons of Tarkir,Rare,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',1.1,FALSE
11380,Commune with Lava,Instant,None,Dragons of Tarkir,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ryan Barger',0.28,FALSE
11381,Crater Elemental,Creature,Elemental,Dragons of Tarkir,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Svetlin Velinov',0.14,FALSE
11382,Descent of the Dragons,Sorcery,None,Dragons of Tarkir,Mythic Rare,6,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Steve Prescott',2.03,FALSE
11383,Draconic Roar,Instant,None,Dragons of Tarkir,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.22,FALSE
11384,Dragon Fodder,Sorcery,None,Dragons of Tarkir,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Volkan Ba\xc7\xb5a',0.13,FALSE
11385,Dragon Tempest,Enchantment,None,Dragons of Tarkir,Rare,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Willian Murai',1.41,FALSE
11386,Dragon Whisperer,Creature,Human Shaman,Dragons of Tarkir,Mythic Rare,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Chris Rallis',0.83,FALSE
11387,Dragonlord's Servant,Creature,Goblin Shaman,Dragons of Tarkir,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Steve Prescott',0.28,FALSE
11388,Hardened Berserker,Creature,Human Berserker,Dragons of Tarkir,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Viktor Titov',0.04,FALSE
11389,Impact Tremors,Enchantment,None,Dragons of Tarkir,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lake Hurwitz',1.39,FALSE
11390,Ire Shaman,Creature,Orc Shaman,Dragons of Tarkir,Rare,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jack Wang',0.14,FALSE
11391,Kindled Fury,Instant,None,Dragons of Tarkir,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dan Scott',0.04,FALSE
11392,Kolaghan Aspirant,Creature,Human Warrior,Dragons of Tarkir,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Aaron Miller',0.05,FALSE
11393,Kolaghan Forerunners,Creature,Human Berserker,Dragons of Tarkir,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jason A. Engle',0.09,FALSE
11394,Kolaghan Stormsinger,Creature,Human Shaman,Dragons of Tarkir,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Scott Murphy',0.06,FALSE
11395,Lightning Berserker,Creature,Human Berserker,Dragons of Tarkir,Uncommon,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Joseph Meehan',0.11,FALSE
11396,Lose Calm,Sorcery,None,Dragons of Tarkir,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jason A. Engle',0.09,FALSE
11397,Magmatic Chasm,Sorcery,None,Dragons of Tarkir,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Volkan Ba\xc7\xb5a',0.06,FALSE
11398,Qal Sisma Behemoth,Creature,Ogre Warrior,Dragons of Tarkir,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Evan Shipard',0.06,FALSE
11399,Rending Volley,Instant,None,Dragons of Tarkir,Uncommon,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lucas Graciano',0.22,FALSE
11400,Roast,Sorcery,None,Dragons of Tarkir,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.24,FALSE
11401,Sabertooth Outrider,Creature,Human Warrior,Dragons of Tarkir,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Winona Nelson',0.03,FALSE
11402,Sarkhan's Rage,Instant,None,Dragons of Tarkir,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Chris Rahn',0.08,FALSE
11403,Sarkhan's Triumph,Instant,None,Dragons of Tarkir,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Chris Rahn',0.58,FALSE
11404,Screamreach Brawler,Creature,Orc Berserker,Dragons of Tarkir,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Slawomir Maniak',0.05,FALSE
11405,Seismic Rupture,Sorcery,None,Dragons of Tarkir,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jason A. Engle',0.13,FALSE
11406,Sprinting Warbrute,Creature,Ogre Berserker,Dragons of Tarkir,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lake Hurwitz',0.09,FALSE
11407,Stormcrag Elemental,Creature,Elemental,Dragons of Tarkir,Uncommon,6,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ralph Horsley',0.05,FALSE
11408,Stormwing Dragon,Creature,Dragon,Dragons of Tarkir,Uncommon,6,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Svetlin Velinov',0.12,FALSE
11409,Summit Prowler,Creature,Yeti,Dragons of Tarkir,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Filip Burburan',0.02,FALSE
11410,Tail Slash,Instant,None,Dragons of Tarkir,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Efrem Palacios',0.04,FALSE
11411,Thunderbreak Regent,Creature,Dragon,Dragons of Tarkir,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ryan Pancoast',2.09,FALSE
11412,Tormenting Voice,Sorcery,None,Dragons of Tarkir,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Volkan Ba\xc7\xb5a',0.1,FALSE
11413,Twin Bolt,Instant,None,Dragons of Tarkir,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Svetlin Velinov',0.07,FALSE
11414,Vandalize,Sorcery,None,Dragons of Tarkir,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ryan Barger',0.03,FALSE
11415,Volcanic Rush,Instant,None,Dragons of Tarkir,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ryan Barger',0.08,FALSE
11416,Volcanic Vision,Sorcery,None,Dragons of Tarkir,Rare,7,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Noah Bradley',0.32,FALSE
11417,Warbringer,Creature,Orc Berserker,Dragons of Tarkir,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Raymond Swanland',0.1,FALSE
11418,Zurgo Bellstriker,Creature,Orc Warrior,Dragons of Tarkir,Rare,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jason Rainville',0.58,TRUE
11419,Aerie Bowmasters,Creature,Dog Archer,Dragons of Tarkir,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Matt Stewart',0.09,FALSE
11420,Ainok Artillerist,Creature,Dog Archer,Dragons of Tarkir,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'James Paick',0.05,FALSE
11421,Ainok Survivalist,Creature,Dog Shaman,Dragons of Tarkir,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Craig J Spearing',0.12,FALSE
11422,Assault Formation,Enchantment,None,Dragons of Tarkir,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kieran Yanner',0.71,FALSE
11423,Atarka Beastbreaker,Creature,Human Warrior,Dragons of Tarkir,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Johannes Voss',0.03,FALSE
11424,Avatar of the Resolute,Creature,Avatar,Dragons of Tarkir,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeff Simpson',1.43,FALSE
11425,Circle of Elders,Creature,Human Shaman,Dragons of Tarkir,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jakub Kasper',0.09,FALSE
11426,Collected Company,Instant,None,Dragons of Tarkir,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Franz Vohwinkel',15.13,FALSE
11427,Colossodon Yearling,Creature,Beast,Dragons of Tarkir,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Yeong-Hao Han',0.06,FALSE
11428,Conifer Strider,Creature,Elemental,Dragons of Tarkir,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'YW Tang',0.1,FALSE
11429,Deathmist Raptor,Creature,Dinosaur Beast,Dragons of Tarkir,Mythic Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Filip Burburan',0.77,FALSE
11430,Den Protector,Creature,Human Warrior,Dragons of Tarkir,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Viktor Titov',0.49,FALSE
11431,Display of Dominance,Instant,None,Dragons of Tarkir,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Tomasz Jedruszek',0.17,FALSE
11432,Dragon-Scarred Bear,Creature,Bear,Dragons of Tarkir,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lars Grant-West',0.16,FALSE
11433,Dromoka's Gift,Instant,None,Dragons of Tarkir,Uncommon,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Winona Nelson',0.1,FALSE
11434,Epic Confrontation,Sorcery,None,Dragons of Tarkir,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Wayne Reynolds',0.09,FALSE
11435,Explosive Vegetation,Sorcery,None,Dragons of Tarkir,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Florian de Gesincourt',1.05,FALSE
11436,Foe-Razer Regent,Creature,Dragon,Dragons of Tarkir,Rare,7,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lucas Graciano',0.29,FALSE
11437,Glade Watcher,Creature,Elemental,Dragons of Tarkir,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jesper Ejsing',0.07,FALSE
11438,Guardian Shield-Bearer,Creature,Human Soldier,Dragons of Tarkir,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lindsey Look',0.07,FALSE
11439,Herdchaser Dragon,Creature,Dragon,Dragons of Tarkir,Uncommon,6,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Seb McKinnon',0.16,FALSE
11440,Inspiring Call,Instant,None,Dragons of Tarkir,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dan Scott',0.49,FALSE
11441,Lurking Arynx,Creature,Cat Beast,Dragons of Tarkir,Uncommon,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Carl Frank',0.06,FALSE
11442,Naturalize,Instant,None,Dragons of Tarkir,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'James Paick',0.09,FALSE
11443,Obscuring Aether,Enchantment,None,Dragons of Tarkir,Rare,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Min Yum',0.45,FALSE
11444,Pinion Feast,Instant,None,Dragons of Tarkir,Common,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ryan Barger',0.06,FALSE
11445,Press the Advantage,Instant,None,Dragons of Tarkir,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Marco Nelor',0.06,FALSE
11446,Revealing Wind,Instant,None,Dragons of Tarkir,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Phill Simmer',0.12,FALSE
11447,Salt Road Ambushers,Creature,Dog Warrior,Dragons of Tarkir,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Joseph Meehan',0.29,FALSE
11448,Salt Road Quartermasters,Creature,Human Soldier,Dragons of Tarkir,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Anthony Palumbo',0.1,FALSE
11449,Sandsteppe Scavenger,Creature,Dog Scout,Dragons of Tarkir,Common,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kieran Yanner',0.1,FALSE
11450,Scaleguard Sentinels,Creature,Human Soldier,Dragons of Tarkir,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Matt Stewart',0.06,FALSE
11451,Segmented Krotiq,Creature,Insect,Dragons of Tarkir,Common,6,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Christopher Moeller',0.04,FALSE
11452,Servant of the Scale,Creature,Human Soldier,Dragons of Tarkir,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Winona Nelson',0.17,FALSE
