id,names,supertypes,MAX(set_year),rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,price,is_legendary,edhrec
14753,Quest for Ula's Temple,Enchantment,2010,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,4.27,FALSE,1131
14754,Sejiri Merfolk,Creature,2010,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.11,FALSE,55
14755,Selective Memory,Sorcery,2010,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.19,FALSE,136
14756,Spell Contortion,Instant,2010,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.14,FALSE,70
14757,Surrakar Banisher,Creature,2010,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,10
14758,Thada Adel Acquisitor,Creature,2010,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,4.06,TRUE,4184
14759,Tideforce Elemental,Creature,2010,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.2,FALSE,609
14760,Treasure Hunt,Sorcery,2010,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.3,FALSE,618
14762,Vapor Snare,Enchantment,2010,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.1,FALSE,59
14763,Voyager Drake,Creature,2010,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.12,FALSE,7
14764,Wind Zendikon,Enchantment,2010,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.12,FALSE,156
14765,Abyssal Persecutor,Creature,2010,Mythic Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.8,FALSE,869
14766,Agadeem Occultist,Creature,2010,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.37,FALSE,684
14767,Anowon the Ruin Sage,Creature,2010,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,1.26,TRUE,3411
14768,Bloodhusk Ritualist,Creature,2010,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.21,FALSE,969
14769,Bojuka Brigand,Creature,2010,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.1,FALSE,163
14771,Butcher of Malakir,Creature,2010,Rare,7,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,1.25,FALSE,17157
14772,Caustic Crawler,Creature,2010,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.14,FALSE,162
14773,Corrupted Zendikon,Enchantment,2010,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.11,FALSE,83
14774,Dead Reckoning,Sorcery,2010,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,71
14775,Death's Shadow,Creature,2010,Rare,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,7.51,FALSE,353
14776,Jagwasp Swarm,Creature,2010,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.08,FALSE,4
14777,Kalastria Highborn,Creature,2010,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,3.21,FALSE,1269
14778,Mire's Toll,Sorcery,2010,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,99
14779,Nemesis Trap,Instant,2010,Uncommon,6,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,50
14780,Pulse Tracker,Creature,2010,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,824
14781,Quag Vampires,Creature,2010,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,452
14782,Quest for the Nihil Stone,Enchantment,2010,Rare,1,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,2.06,FALSE,1078
14783,Ruthless Cullblade,Creature,2010,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,105
14784,Scrib Nibblers,Creature,2010,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.21,FALSE,365
14785,Shoreline Salvager,Creature,2010,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.06,FALSE,3
14786,Smother,Instant,2010,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,123
14787,Tomb Hex,Instant,2010,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,17
14788,Urge to Feed,Instant,2010,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.25,FALSE,617
14789,Akoum Battlesinger,Creature,2010,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.14,FALSE,343
14790,Bazaar Trader,Creature,2010,Rare,2,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,1.18,FALSE,1280
14791,Bull Rush,Instant,2010,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.04,FALSE,38
14792,Chain Reaction,Sorcery,2010,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.67,FALSE,9054
14793,Claws of Valakut,Enchantment,2010,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,324
14794,Comet Storm,Instant,2010,Mythic Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.99,FALSE,12043
14795,Cosi's Ravager,Creature,2010,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,173
14796,Crusher Zendikon,Enchantment,2010,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.12,FALSE,43
14797,Cunning Sparkmage,Creature,2010,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.21,FALSE,582
14798,Deathforge Shaman,Creature,2010,Uncommon,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,310
14801,Grotag Thrasher,Creature,2010,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.05,FALSE,5
14802,Kazuul Tyrant of the Cliffs,Creature,2010,Rare,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,2.52,TRUE,6219
14803,Mordant Dragon,Creature,2010,Rare,6,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.33,FALSE,550
14804,Quest for the Goblin Lord,Enchantment,2010,Uncommon,1,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.98,FALSE,2001
14805,Ricochet Trap,Instant,2010,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.34,FALSE,684
14806,Roiling Terrain,Sorcery,2010,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.25,FALSE,469
14807,Rumbling Aftershocks,Enchantment,2010,Uncommon,5,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,24
14808,Searing Blaze,Instant,2010,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.98,FALSE,376
14809,Skitter of Lizards,Creature,2010,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,216
14810,Slavering Nulls,Creature,2010,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,37
14811,Stone Idol Trap,Instant,2010,Rare,6,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.16,FALSE,55
14812,Tuktuk Scrapper,Creature,2010,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.24,FALSE,1518
14814,Avenger of Zendikar,Creature,2010,Mythic Rare,7,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,12.14,FALSE,27990
14815,Bestial Menace,Sorcery,2010,Uncommon,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,220
14816,Canopy Cover,Enchantment,2010,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.37,FALSE,1934
14817,Explore,Sorcery,2010,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.28,FALSE,11162
14818,Feral Contest,Sorcery,2010,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,16
14819,Gnarlid Pack,Creature,2010,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,252
14820,Grappler Spider,Creature,2010,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.1,FALSE,64
14821,Graypelt Hunter,Creature,2010,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,179
14822,Groundswell,Instant,2010,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.77,FALSE,539
14823,Harabaz Druid,Creature,2010,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,1.4,FALSE,1142
14824,Joraga Warcaller,Creature,2010,Rare,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,2.86,FALSE,3451
14825,Leatherback Baloth,Creature,2010,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.38,FALSE,189
14826,Nature's Claim,Instant,2010,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.33,FALSE,21255
14827,Omnath Locus of Mana,Creature,2010,Mythic Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,21.72,TRUE,1863
14828,Quest for Renewal,Enchantment,2010,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,1.44,FALSE,3691
14829,Slingbow Trap,Instant,2010,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.04,FALSE,13
14830,Snapping Creeper,Creature,2010,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,19
14831,Strength of the Tajuru,Instant,2010,Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.57,FALSE,1351
14832,Summit Apes,Creature,2010,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,18
14833,Terastodon,Creature,2010,Rare,8,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,1.1,FALSE,15668
14834,Vastwood Animist,Creature,2010,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.15,FALSE,106
14835,Vastwood Zendikon,Enchantment,2010,Common,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,87
14836,Wolfbriar Elemental,Creature,2010,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.38,FALSE,3665
14837,Novablast Wurm,Creature,2010,Mythic Rare,7,Gold,Legal,Not Legal,Legal,Legal,Legal,FALSE,1.76,FALSE,545
14838,Wrexial the Risen Deep,Creature,2010,Mythic Rare,6,Gold,Legal,Not Legal,Legal,Legal,Legal,TRUE,2.56,TRUE,2629
14839,Amulet of Vigor,Artifact,2010,Rare,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,16.08,FALSE,3904
14840,Basilisk Collar,Artifact,2010,Rare,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,5.82,FALSE,7466
14841,Everflowing Chalice,Artifact,2010,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,1.58,FALSE,23513
14842,Hammer of Ruin,Artifact,2010,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.1,FALSE,75
14843,Hedron Rover,Artifact Creature,2010,Common,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.13,FALSE,43
14845,Lodestone Golem,Artifact Creature,2010,Rare,4,Colorless,Legal,Not Legal,Legal,Restrict.,Legal,TRUE,0.59,FALSE,2186
14847,Razor Boomerang,Artifact,2010,Uncommon,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.14,FALSE,49
14848,Seer's Sundial,Artifact,2010,Rare,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.22,FALSE,4652
14849,Walking Atlas,Artifact Creature,2010,Common,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.53,FALSE,3421
14850,Bojuka Bog,Land,2010,Common,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,1.65,FALSE,62311
14851,Celestial Colonnade,Land,2010,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,4.95,FALSE,2601
14852,Creeping Tar Pit,Land,2010,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,3.38,FALSE,3829
14853,Dread Statuary,Land,2010,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,1105
14854,Eye of Ugin,Land,2010,Mythic Rare,0,Colorless,Banned,Not Legal,Legal,Legal,Legal,TRUE,8.58,TRUE,3636
14855,Halimar Depths,Land,2010,Common,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.53,FALSE,17973
14856,Khalni Garden,Land,2010,Common,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.21,FALSE,5713
14857,Lavaclaw Reaches,Land,2010,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.91,FALSE,2837
14859,Raging Ravine,Land,2010,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,2.41,FALSE,2714
14860,Sejiri Steppe,Land,2010,Common,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,865
14861,Smoldering Spires,Land,2010,Common,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,456
14862,Stirring Wildwood,Land,2010,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.53,FALSE,5600
14863,Tectonic Edge,Land,2010,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.71,FALSE,8719
14864,Armament Master,Creature,2009,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.26,FALSE,77
14865,Arrow Volley Trap,Instant,2009,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,36
14866,Bold Defense,Instant,2009,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,11
14868,Caravan Hurda,Creature,2009,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,9
14869,Celestial Mantle,Enchantment,2009,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,2.85,FALSE,1755
14870,Cliff Threader,Creature,2009,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.05,FALSE,20
14871,Conqueror's Pledge,Sorcery,2009,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.37,FALSE,844
14873,Devout Lightcaster,Creature,2009,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.27,FALSE,100
14874,Emeria Angel,Creature,2009,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.87,FALSE,3384
14876,Iona Shield of Emeria,Creature,2009,Mythic Rare,9,White,Legal,Not Legal,Banned,Legal,Legal,TRUE,4.18,TRUE,2817
14877,Journey to Nowhere,Enchantment,2009,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.56,FALSE,2174
14878,Kabira Evangel,Creature,2009,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.61,FALSE,729
14879,Kazandu Blademaster,Creature,2009,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.34,FALSE,475
14880,Kor Aeronaut,Creature,2009,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,28
14881,Kor Cartographer,Creature,2009,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.31,FALSE,3908
14882,Kor Duelist,Creature,2009,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.18,FALSE,420
14883,Kor Hookmaster,Creature,2009,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,93
14884,Kor Outfitter,Creature,2009,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.24,FALSE,205
14885,Kor Sanctifiers,Creature,2009,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,465
14886,Kor Skyfisher,Creature,2009,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.29,FALSE,1512
14887,Landbind Ritual,Sorcery,2009,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.1,FALSE,31
14888,Luminarch Ascension,Enchantment,2009,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,6,FALSE,9741
14889,Makindi Shieldmate,Creature,2009,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.1,FALSE,80
14890,Narrow Escape,Instant,2009,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,42
14891,Nimbus Wings,Enchantment,2009,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.12,FALSE,98
14892,Noble Vestige,Creature,2009,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,4
14893,Ondu Cleric,Creature,2009,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.17,FALSE,777
14895,Pitfall Trap,Instant,2009,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,56
14896,Quest for the Holy Relic,Enchantment,2009,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.19,FALSE,547
14897,Shepherd of the Lost,Creature,2009,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,92
14898,Shieldmate's Blessing,Instant,2009,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,6
14899,Steppe Lynx,Creature,2009,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.15,FALSE,334
14900,Sunspring Expedition,Enchantment,2009,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.12,FALSE,93
14901,Windborne Charge,Sorcery,2009,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,18
14902,World Queller,Creature,2009,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.32,FALSE,468
14903,Aether Figment,Creature,2009,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,214
14904,Archive Trap,Instant,2009,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,8.22,FALSE,762
14905,Archmage Ascension,Enchantment,2009,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,1.35,FALSE,1789
14906,Caller of Gales,Creature,2009,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,105
14908,Cosi's Trickster,Creature,2009,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.43,FALSE,639
14909,Gomazoa,Creature,2009,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,300
14910,Hedron Crab,Creature,2009,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,2.38,FALSE,2705
14911,Into the Roil,Instant,2009,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,5971
14912,Ior Ruin Expedition,Enchantment,2009,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,294
14914,Lethargy Trap,Instant,2009,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.06,FALSE,36
14915,Living Tsunami,Creature,2009,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,41
14916,Lorthos the Tidemaker,Creature,2009,Mythic Rare,8,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,1.13,TRUE,1931
14917,Lullmage Mentor,Creature,2009,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.94,FALSE,1788
14918,Merfolk Seastalkers,Creature,2009,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,32
14919,Merfolk Wayfinder,Creature,2009,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,149
14920,Mindbreak Trap,Instant,2009,Mythic Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,4.71,FALSE,631
14922,Quest for Ancient Secrets,Enchantment,2009,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.12,FALSE,278
14924,Rite of Replication,Sorcery,2009,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,4.79,FALSE,15641
14925,Roil Elemental,Creature,2009,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,11.07,FALSE,5197
14926,Sea Gate Loremaster,Creature,2009,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.49,FALSE,979
14927,Seascape Aerialist,Creature,2009,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.15,FALSE,602
14928,Shoal Serpent,Creature,2009,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,37
14929,Sky Ruin Drake,Creature,2009,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,3
14931,Sphinx of Jwar Isle,Creature,2009,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,986
14932,Sphinx of Lost Truths,Creature,2009,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.25,FALSE,667
14933,Spreading Seas,Enchantment,2009,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.64,FALSE,1224
14934,Summoner's Bane,Instant,2009,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,191
14935,Tempest Owl,Creature,2009,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.08,FALSE,17
14936,Trapfinder's Trick,Sorcery,2009,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.05,FALSE,13
14937,Trapmaker's Snare,Instant,2009,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.13,FALSE,16
14938,Umara Raptor,Creature,2009,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.11,FALSE,223
14940,Whiplash Trap,Instant,2009,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,261
14941,Windrider Eel,Creature,2009,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,98
14942,Bala Ged Thief,Creature,2009,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.32,FALSE,679
14944,Blood Tribute,Sorcery,2009,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.65,FALSE,2626
14945,Bloodchief Ascension,Enchantment,2009,Rare,1,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,16.33,FALSE,6142
14946,Bloodghast,Creature,2009,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,9.2,FALSE,4434
14947,Bog Tatters,Creature,2009,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,6
14948,Crypt Ripper,Creature,2009,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,36
14949,Desecrated Earth,Sorcery,2009,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.05,FALSE,31
14951,Feast of Blood,Sorcery,2009,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.46,FALSE,558
14952,Gatekeeper of Malakir,Creature,2009,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.74,FALSE,1581
14954,Grim Discovery,Sorcery,2009,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,493
14955,Guul Draz Specter,Creature,2009,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.27,FALSE,527
14956,Guul Draz Vampire,Creature,2009,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.27,FALSE,366
14957,Hagra Crocodile,Creature,2009,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,18
14958,Hagra Diabolist,Creature,2009,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.28,FALSE,899
14959,Halo Hunter,Creature,2009,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.29,FALSE,114
14960,Heartstabber Mosquito,Creature,2009,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,45
14961,Hideous End,Instant,2009,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,247
14962,Kalitas Bloodchief of Ghet,Creature,2009,Mythic Rare,7,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,4.73,TRUE,873
14963,Malakir Bloodwitch,Creature,2009,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.91,FALSE,3754
14964,Marsh Casualties,Sorcery,2009,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,29
14966,Mindless Null,Creature,2009,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.06,FALSE,13
14967,Mire Blight,Enchantment,2009,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,22
14968,Needlebite Trap,Instant,2009,Uncommon,7,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.17,FALSE,68
14969,Nimana Sell-Sword,Creature,2009,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.09,FALSE,80
14970,Ob Nixilis the Fallen,Creature,2009,Mythic Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,10.6,TRUE,4684
14971,Quest for the Gravelord,Enchantment,2009,Uncommon,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.17,FALSE,469
14972,Ravenous Trap,Instant,2009,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.58,FALSE,177
14973,Sadistic Sacrament,Sorcery,2009,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,1.7,FALSE,1248
14975,Soul Stair Expedition,Enchantment,2009,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.15,FALSE,175
14976,Surrakar Marauder,Creature,2009,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,FALSE,0.07,FALSE,15
14977,Vampire Hexmage,Creature,2009,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.55,FALSE,3333
14978,Vampire Lacerator,Creature,2009,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,451
14980,Vampire's Bite,Instant,2009,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,77
